description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm1077																	void																																																																																							0
cm1078	1	1		100	16	361	869		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1079	1	1		100	16	361	888		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1080	1	1		100	16	361	907		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1081	1	1		100	16	361	925		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1082	1	1		100	16	361	944		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1083	1	1		100	16	361	963		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1084	1	1		100	16	361	982		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1085	1	1		100	16	361	1000		2	"tors,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1086																	void																																																																																							0
cm1087	1	1		100	16	361	295		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1088	1	1		100	16	361	340		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm1089	1	1		100	16	361	385		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1090	1	1		100	16	361	430		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1091	1	1		100	16	361	475		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1092	1	1		100	16	361	520		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1093	1	1		100	16	361	565		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1094	1	1		100	16	361	610		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1095																	void																																																																																							0
cm1096	1	1		100	16	361	640		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1097	1	1		100	16	361	670		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm1098	1	1		100	16	361	700		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1099	1	1		100	16	361	730		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		44	44	pr270	100		1001	1001	pr76	100		10	15																																																																					0
cm1100	1	1		100	16	361	760		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1101	1	1		100	16	361	790		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		46	46	pr270	100		1001	1001	pr3	100		6	10																																																																					0
cm1102	1	1		100	16	361	820		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		47	47	pr270	100		1001	1001	pr6	100		6	10																																																																					0
cm1103	1	1		100	16	361	850		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		48	48	pr270	100		1001	1001	pr242	100		1	1																																																																					0
cm1104																	void																																																																																							0
cm1105	1	1		100	16	361	869		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1106	1	1		100	16	361	888		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1107	1	1		100	16	361	907		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1108	1	1		100	16	361	925		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1109	1	1		100	16	361	944		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1110	1	1		100	16	361	963		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1111	1	1		100	16	361	982		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1112	1	1		100	16	361	1000		2	"tors,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1113																	void																																																																																							0
cm1114																	void																																																																																							0
cm1115																	void																																																																																							0
cm1116	1	1		100	16	361	295		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1117	1	1		100	16	361	340		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm1118	1	1		100	16	361	385		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1119	1	1		100	16	361	430		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1120	1	1		100	16	361	475		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1121	1	1		100	16	361	520		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1122	1	1		100	16	361	565		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1123	1	1		100	16	361	610		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1124																	void																																																																																							0
cm1125	1	1		100	16	361	640		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1126	1	1		100	16	361	670		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm1127	1	1		100	16	361	700		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm1128	1	1		100	16	361	730		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1129	1	1		100	16	361	760		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1130	1	1		100	16	361	790		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm1131	1	1		100	16	361	820		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm1132	1	1		100	16	361	850		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm1133																	void																																																																																							0
cm1134	1	1		100	16	361	869		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1135	1	1		100	16	361	888		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1136	1	1		100	16	361	907		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1137	1	1		100	16	361	925		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1138	1	1		100	16	361	944		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1139	1	1		100	16	361	963		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1140	1	1		100	16	361	982		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1141	1	1		100	16	361	1000		2	"helm,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1142																	void																																																																																							0
cm1143	1	1		100	16	361	295		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1144	1	1		100	16	361	340		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm1145	1	1		100	16	361	385		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1146	1	1		100	16	361	430		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1147	1	1		100	16	361	475		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1148	1	1		100	16	361	520		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1149	1	1		100	16	361	565		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1150	1	1		100	16	361	610		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1151																	void																																																																																							0
cm1152	1	1		100	16	361	640		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1153	1	1		100	16	361	670		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm1154	1	1		100	16	361	700		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm1155	1	1		100	16	361	730		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1156	1	1		100	16	361	760		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1157	1	1		100	16	361	790		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm1158	1	1		100	16	361	820		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm1159	1	1		100	16	361	850		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm1160																	void																																																																																							0
cm1161	1	1		100	16	361	869		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1162	1	1		100	16	361	888		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1163	1	1		100	16	361	907		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1164	1	1		100	16	361	925		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1165	1	1		100	16	361	944		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1166	1	1		100	16	361	963		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1167	1	1		100	16	361	982		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1168	1	1		100	16	361	1000		2	"helm,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1169																	void																																																																																							0
cm1170	1	1		100	16	361	295		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1171	1	1		100	16	361	340		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm1172	1	1		100	16	361	385		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1173	1	1		100	16	361	430		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1174	1	1		100	16	361	475		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1175	1	1		100	16	361	520		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1176	1	1		100	16	361	565		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1177	1	1		100	16	361	610		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1178																	void																																																																																							0
cm1179	1	1		100	16	361	640		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1180	1	1		100	16	361	670		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm1181	1	1		100	16	361	700		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm1182	1	1		100	16	361	730		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1183	1	1		100	16	361	760		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1184	1	1		100	16	361	790		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm1185	1	1		100	16	361	820		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm1186	1	1		100	16	361	850		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm1187																	void																																																																																							0
cm1188	1	1		100	16	361	869		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1189	1	1		100	16	361	888		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1190	1	1		100	16	361	907		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1191	1	1		100	16	361	925		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1192	1	1		100	16	361	944		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1193	1	1		100	16	361	963		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1194	1	1		100	16	361	982		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1195	1	1		100	16	361	1000		2	"helm,set,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1196																	void																																																																																							0
cm1197	1	1		100	16	361	295		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1198	1	1		100	16	361	340		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm1199	1	1		100	16	361	385		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1200	1	1		100	16	361	430		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1201	1	1		100	16	361	475		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1202	1	1		100	16	361	520		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1203	1	1		100	16	361	565		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1204	1	1		100	16	361	610		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1205																	void																																																																																							0
cm1206	1	1		100	16	361	640		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1207	1	1		100	16	361	670		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm1208	1	1		100	16	361	700		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm1209	1	1		100	16	361	730		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1210	1	1		100	16	361	760		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1211	1	1		100	16	361	790		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm1212	1	1		100	16	361	820		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm1213	1	1		100	16	361	850		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm1214																	void																																																																																							0
cm1215	1	1		100	16	361	869		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1216	1	1		100	16	361	888		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1217	1	1		100	16	361	907		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1218	1	1		100	16	361	925		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1219	1	1		100	16	361	944		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1220	1	1		100	16	361	963		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1221	1	1		100	16	361	982		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1222	1	1		100	16	361	1000		2	"helm,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1223																	void																																																																																							0
cm1224	1	1		100	16	361	295		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1225	1	1		100	16	361	340		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm1226	1	1		100	16	361	385		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1227	1	1		100	16	361	430		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1228	1	1		100	16	361	475		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1229	1	1		100	16	361	520		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1230	1	1		100	16	361	565		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1231	1	1		100	16	361	610		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1232																	void																																																																																							0
cm1233	1	1		100	16	361	640		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1234	1	1		100	16	361	670		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm1235	1	1		100	16	361	700		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm1236	1	1		100	16	361	730		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1237	1	1		100	16	361	760		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1238	1	1		100	16	361	790		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm1239	1	1		100	16	361	820		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm1240	1	1		100	16	361	850		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm1241																	void																																																																																							0
cm1242	1	1		100	16	361	869		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1243	1	1		100	16	361	888		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1244	1	1		100	16	361	907		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1245	1	1		100	16	361	925		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1246	1	1		100	16	361	944		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1247	1	1		100	16	361	963		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
